t	x1	x2
76.9000	6.26587	6.25387
77.0000	6.28262	6.27347
77.1000	6.26758	6.27366
77.2000	6.24546	6.27485
77.3000	6.25942	6.27911
77.4000	6.25896	6.26294
77.5000	6.27405	6.26513
77.6000	6.26871	6.28968
77.7000	6.25694	6.26797
77.8000	6.2597	6.2632
77.9000	6.25166	6.2687
78.0000	6.27146	6.29191
78.1000	6.25687	6.29093
78.2000	6.26816	6.29486
78.3000	6.28213	6.27563
78.4000	6.26387	6.2526
78.5000	6.26316	6.24278
78.6000	6.26827	6.22738
78.7000	6.26215	6.26518
78.8000	6.25513	6.29067
78.9000	6.27012	6.26847
79.0000	6.28584	6.24859
79.1000	6.28749	6.2308
79.2000	6.27219	6.23356
79.3000	6.24594	6.2662
79.4000	6.2616	6.26524
79.5000	6.25656	6.25791
79.6000	6.2738	6.27853
79.7000	6.2658	6.28609
79.8000	6.26169	6.2812
79.9000	6.25888	6.30682
80.0000	6.25623	6.27005
80.1000	6.26774	6.26371
80.2000	6.26053	6.26126
80.3000	6.26734	6.26886
80.4000	6.27795	6.26383
80.5000	6.2618	6.25186
80.6000	6.27076	6.26414
80.7000	6.24039	6.26387
80.8000	6.24253	6.29482
80.9000	6.28776	6.2742
81.0000	6.26357	6.27553
81.1000	6.25745	6.24548
81.2000	6.27111	6.25805
81.3000	6.26622	6.25974
81.4000	6.25419	6.2786
81.5000	6.25481	6.3004
81.6000	6.28134	6.28678
81.7000	6.29621	6.25245
81.8000	6.2693	6.23885
81.9000	6.2529	6.25342
82.0000	6.23709	6.27271
82.1000	6.26292	6.25665
82.2000	6.26004	6.26965
82.3000	6.24413	6.27329
82.4000	6.26837	6.28531
82.5000	6.27323	6.28486
82.6000	6.28307	6.28072
82.7000	6.28412	6.29094
82.8000	6.27659	6.28053
82.9000	6.28215	6.27715
83.0000	6.26893	6.28107
83.1000	6.24496	6.27473
83.2000	6.23927	6.23999
83.3000	6.24167	6.22797
83.4000	6.27801	6.25962
83.5000	6.26176	6.28169
83.6000	6.25574	6.29501
83.7000	6.26223	6.27398
83.8000	6.26324	6.28705
83.9000	6.26817	6.27435
84.0000	6.27005	6.25864
84.1000	6.25603	6.24954
84.2000	6.26486	6.25063
84.3000	6.25656	6.25889
84.4000	6.28145	6.26018
84.5000	6.26021	6.26354
84.6000	6.26093	6.26125
84.7000	6.27446	6.27156
84.8000	6.28679	6.26644
84.9000	6.29251	6.26494
85.0000	6.28695	6.25625
85.1000	6.25787	6.27147
85.2000	6.25524	6.2763
85.3000	6.26773	6.28579
85.4000	6.29313	6.29464
85.5000	6.2645	6.28178
85.6000	6.24166	6.28282
85.7000	6.23041	6.26684
85.8000	6.28258	6.28573
85.9000	6.2908	6.26769
86.0000	6.28409	6.2683
86.1000	6.28925	6.27656
86.2000	6.255	6.29836
86.3000	6.25157	6.29658
86.4000	6.2442	6.26029
86.5000	6.26515	6.26487
86.6000	6.268	6.272
86.7000	6.27258	6.31381
86.8000	6.2518	6.30921
86.9000	6.25265	6.28796
87.0000	6.2529	6.26231
87.1000	6.2605	6.27088
87.2000	6.28782	6.29991
87.3000	6.28112	6.29342
87.4000	6.2839	6.26375
87.5000	6.27053	6.29835
87.6000	6.26847	6.30771
87.7000	6.26254	6.29198
87.8000	6.25477	6.27467
87.9000	6.27521	6.27663
88.0000	6.2784	6.25341
88.1000	6.2507	6.26811
88.2000	6.2458	6.28431
88.3000	6.28334	6.28878
88.4000	6.29386	6.28977
88.5000	6.26769	6.27568
88.6000	6.26155	6.27771
88.7000	6.26305	6.2918
88.8000	6.26296	6.29547
88.9000	6.23404	6.26987
89.0000	6.24544	6.26359
89.1000	6.25335	6.27696
89.2000	6.26754	6.30529
89.3000	6.27376	6.29844
89.4000	6.26558	6.29595
89.5000	6.25134	6.28776
89.6000	6.2646	6.29808
89.7000	6.24883	6.30285
89.8000	6.24574	6.31905
89.9000	6.27889	6.31012
90.0000	6.27788	6.28668
90.1000	6.25753	6.28336
90.2000	6.27075	6.28733
90.3000	6.28195	6.2792
90.4000	6.27653	6.28403
90.5000	6.28931	6.28574
90.6000	6.26671	6.28254
90.7000	6.2626	6.29057
90.8000	6.24739	6.29426
